SINK STOVE LIP GATE TENT SWAMP ELF BROOM PIT MOUTH MAT DOLL 
STRAW BAG BLUSH FLOOR STAIR HAND ROPE HOUSE TRUCK BRICK MUD CART 
WHALE CAVE SHIELD LAND CORN SKI CLAY SEAL JEEP GOLD FORT SPEAR 
CAGE BARN SKUNK GRASS CHAIR CAKE CHEEK ARK LAMB BOWL PIE DRESS 
HORN ROAD HILL NOSE HAT FENCE SWORD RIB VEST MAZE GUARD FLAME 
SLIME PEACH SOCK OAK PALM SUIT DIME DESK SCHOOL TEA CANE TOAST 
DUCK DOG CHALK POOL HEN PET PEN HAWK ZOO MOOSE FLEA OWL 
PIN BOX STICK DITCH MULE BEAK SEAT DOOR SHOE LAWN SMILE SIGN 
WORLD CLIFF SNAIL STONE TOE COW ANT FOX MOTH NEST MOLE FACE 
HOSE TREE PRINCE TOOTH BLOOM RAKE SHARK BOOT CROW SPRING CROWN SLEEVE 
CUP PLATE SHIRT TRAY LEG OAR FORK STRING CHIN COUCH TIE PURSE 
PEA COIN EAR SAIL POLE STORM NAIL BAT BALL MAP KEY FUR 
AXE CLOUD FOG HOOK WEB FUDGE SUN ICE FOAM WING SNOW RAIN 
CHIEF SNAKE MOUSE SOAP MILK BIRD BEE BOY WEED GEESE WOLF TOAD 
SPONGE PIPE SHRIMP FROG DEER POND GLASS TANK MOON SKY FISH JET 
JUICE PIG BREAD JAR BENCH CALF WOOD TAIL GOAT KITE THUMB BOARD 
HOOF SHELL BED SEA BEACH HEART SHIP MAIL EGG TRAIN SALT PEARL 
WORM ROCK RAT CONE CAPE TOY SQUARE TOOL CAT TEETH PEAR PLANE 
BATH FRUIT ROOT PASTE GRAPE VINE FAN HOLE STEAK DART VASE CLOTH 
EEL CASH FILM DRUM JUDGE CAR FARM BANK SHEET BRANCH FLAG INK 
SEED WAVE TRASH HORSE WAND BEAR STORE CORD BOMB STAR JAIL NET 
SLUSH RUG SPOON PARK FOOT PANTS MUG ROSE GLOVE WALL ARM BOOK 
BADGE ROOM YARD CLOWN CLOCK STREET LAMP FLUTE WHEEL BUSH VAN BAND 
RICE STOOL CUBE SHEEP FOOD THREAD BEAN PHONE STEM LEAF SOUP PLANT 
STEAM DOCK SMOKE SPARK LOCK APE BRUSH BRIDGE CRANE BOAT ROOF LAKE 
