TRAY MAT STOVE LEG SPOON SEAT DOLL PURSE NOSE CANE BAG CUBE 
SLEEVE GUARD COUCH RAT HOUSE CHAIR STOOL EAR CLOCK DART DESK OWL 
BOX KITE SHOE CAKE FAN RUG DIME BOWL CLOWN DRESS PLATE PIN 
HAND CHEEK LAMP CART SHIELD BADGE BLUSH BATH SHIRT CROWN PEARL VEST 
TOAST HILL DOOR POOL SOCK VASE FLUTE ROOF BOOT MOUTH BROOM GATE 
TAIL SINK BENCH PEN BARN FOOT SMILE THUMB CALF PEA SKUNK FOX 
STONE STRING SOUP CORN FORK SUN SHARK STEAK FENCE BALL CUP FLAME 
CHALK RIB BAND THREAD SQUARE FUR HOLE TOOL SEAL WORM YARD CRANE 
HOOK BOAT CAPE MUD LAND ELF FARM STORM MAP STICK STRAW SEA 
LIP TOE JUDGE PEAR LAWN LOCK AXE BRANCH KEY PARK WHALE HORN 
BEE PIPE CAVE JAR TIE CHIN MUG GRAPE NAIL MOTH PIE ARK 
INK CORD SHEET JUICE FROG PASTE EGG SPONGE BOARD FILM MAIL STORE 
MOLE JET BEAR ZOO ICE CLOUD SKI WHEEL NET SLIME PLANE SPARK 
BIRD OAR HEN MULE GLOVE FACE WEB PET ROAD CAT DOG BAT 
PALM MOOSE SWORD FOAM SAIL STAR ARM SHIP DOCK SIGN RAIN SKY 
CLIFF ROOT HAWK LEAF BED SLUSH FLOOR STEM ANT OAK WING ROOM 
FRUIT TANK HOSE CLOTH WOOD CLAY ROCK SOAP SEED RICE BRICK WORLD 
MOON BOOK SHEEP FORT TRAIN GOLD BOMB MOUSE TRASH APE WAVE BANK 
TEETH TOAD TOOTH PANTS PIG TENT TOY TRUCK BRUSH CAGE DUCK SNAKE 
SPRING DITCH BUSH HOOF PLANT JEEP LAMB TEA BEAN COW VINE GRASS 
LAKE CONE GOAT SWAMP BRIDGE RAKE BEAK HORSE ROSE ROPE STEAM SPEAR 
FOOD PIT DEER NEST PRINCE GEESE BREAD CROW MILK PEACH EEL WOLF 
FUDGE HEART FLAG WALL CAR SUIT HAT JAIL PHONE SMOKE MAZE STAIR 
FLEA WEED COIN GLASS FOG VAN BOY DRUM CASH CHIEF SCHOOL STREET 
SNAIL POLE WAND SNOW FISH SHRIMP SALT SHELL BEACH TREE BLOOM POND 
