TEA HEN TOAST CRANE ROOF ROOM DART NEST CROW BATH LAWN ANT 
PURSE SLEEVE ARM LIP SUIT TIE NOSE BAND FENCE OAR TOE FOAM 
THUMB BEAK NAIL SOCK JUICE RUG GRAPE VASE CLOWN AXE JAR SPOON 
BOOT RIB MULE SNOW CHIN JEEP BARN SHIRT SKY FOG BOY CART 
LOCK ARK COUCH BAG PIE CAKE HAND BROOM CAGE FLOOR BED FAN 
CAVE WEED LAMB MUD CLIFF GOAT STRAW COW DOG FUR TAIL CORN 
HILL FOX SUN PALM BRUSH CALF PIN DITCH HOOK PEA VINE HOLE 
HOSE ROPE CHAIR VEST LAMP STAIR FLAME CLOTH SINK SLUSH SOAP STOVE 
STREET SLIME BENCH SEAT THREAD GEESE DOLL DESK GOLD HAT STOOL SHOE 
PEN MAT PEACH STEAK WOOD VAN PASTE BOX SKUNK HOOF PEAR PLATE 
GATE STICK LEG POOL DOOR CUP PIPE TRAY ROSE YARD TOY CHEEK 
MOUTH STEM SEA BRANCH TOOTH TANK APE ROOT MILK TEETH WING BLOOM 
SPARK BRICK STEAM SALT CONE ICE FROG STONE FORT SHELL DIME CHIEF 
SPONGE STAR BOMB BOARD PEARL KITE SOUP BOAT SHRIMP LAKE SWAMP CLOUD 
INK BOOK RAKE JUDGE COIN JAIL ELF BANK STORE HORSE MAIL SHEET 
PIT SNAKE BEAN FISH CANE FRUIT GRASS LEAF TREE BIRD WORLD RICE 
BEACH WAVE DRESS ROCK CLOCK SHARK FORK SNAIL SEAL GLASS SIGN PANTS 
BEE FLUTE WORM CORD TRASH MOTH CAT WEB TOOL SEED GLOVE EGG 
KEY PHONE FLEA SQUARE WHEEL CLAY BOWL FUDGE CAR FOOD BREAD ROAD 
SAIL STORM CAPE FLAG CUBE RAIN LAND CROWN MOON SHIELD OAK POLE 
TRAIN SHEEP GUARD TRUCK PLANT SPRING FACE FOOT TENT MOOSE SPEAR FARM 
HEART BRIDGE BLUSH JET SMOKE PRINCE FILM BEAR CASH MAP SCHOOL PLANE 
HOUSE EAR STRING HAWK BUSH MOLE SMILE DRUM PIG MUG TOAD WAND 
PARK POND DUCK ZOO CHALK BADGE SKI WHALE HORN OWL DEER WOLF 
SHIP BAT SWORD RAT BALL PET MAZE DOCK MOUSE NET EEL WALL 
