SWORD ROPE PALM CHEEK ROOM DOLL BATH SLUSH CROWN GLOVE FLOOR PANTS 
SHIRT BUSH FUR BOOT ZOO BOX TRAY SHARK SEAT ROOF VASE STICK 
MUG MILK CANE WEED BAG TRUCK BREAD SOCK DESK STEAK SMILE PURSE 
TAIL SIGN DEER WEB BLUSH WHEEL CAGE SEAL STRAW JAR MOUSE CAT 
GATE SHOE HORN THREAD FOAM HAND FORK SINK FLUTE STRING PIPE SLEEVE 
LEG SPOON LAWN DRESS CHAIR JUICE LAMP APE PLATE SOUP STREET RICE 
DART WOOD FLAME CLOTH LOCK BOARD NAIL GLASS TIE TOE FAN PIT 
BEAK THUMB CAPE HOOK DUCK HAWK BOAT PIG BRUSH RAKE POND WORM 
DITCH DOOR MAT SKUNK YARD CART BARN POOL BEAN RAT ARK PEN 
FOOT WAND CHIN FACE SHIELD BENCH GUARD SQUARE PIN FENCE BOMB ROSE 
ARM PEACH STOOL BOWL TOY LAMB COUCH LIP PASTE TEA CUP HEN 
MUD DOCK LAKE SPEAR MAZE BEACH PLANE OAR WING SWAMP CRANE FOG 
TENT SHELL CAKE EGG EAR PEAR BED WHALE DIME COIN CAVE DRUM 
SNAKE CROW RIB SEED TREE MOTH FOX BIRD BLOOM ANT BEE HOLE 
SHEET PARK WALL HOSE SOAP GRASS BALL NET HOOF BAT SALT FRUIT 
VINE BROOM SPRING MOUTH CLAY NEST MOLE OWL ROCK CLIFF KITE NOSE 
BADGE TOAST HAT ROAD CLOWN PIE SUIT CLOCK TRAIN FLEA SLIME SCHOOL 
ELF HILL PRINCE VEST GOAT MULE CALF SKI STAIR AXE HORSE STOVE 
JAIL STORE PEARL KEY MAIL BAND INK MOOSE MAP HOUSE SHIP PET 
CUBE BOY ICE OAK SAIL SKY FLAG STORM CLOUD SEA LAND SUN 
POLE BRIDGE STAR RUG VAN JUDGE TRASH FORT BOOK DOG CAR PEA 
GRAPE BRANCH LEAF STEM COW CHALK SHRIMP EEL PLANT TANK CORN ROOT 
PHONE BANK CASH MOON SPONGE BEAR FROG CORD HEART WAVE FILM TOAD 
RAIN FOOD JEEP CONE FUDGE TOOTH SMOKE STEAM TEETH TOOL SPARK JET 
STONE WORLD BRICK SHEEP FISH FARM CHIEF WOLF SNAIL GOLD SNOW GEESE 
