CUBE BATH VASE RUG SINK TOAST DESK DRESS COUCH CHEEK DIME TRASH 
CAGE CUP HOOF TREE ZOO BROOM PEAR YARD DEER SPOON FOX BOX 
PIPE SOUP FORK FROG GRAPE GLOVE NAIL LAMP PEACH STRING PLATE FAN 
BUSH OAK SWAMP ROPE PALM BRANCH LAMB BARN BREAD STEAK WEED POOL 
RAKE LOCK MUD SLIME BOOT SPARK GATE SPRING HOLE MOUTH CROW CHIN 
FLOOR TRUCK PURSE PIT FLEA BLUSH ROAD CAR HILL PIE BOY STREET 
SKY DITCH BAND CAPE BEACH HOOK VINE TENT LEG SHIELD WAVE ARK 
HAT EEL PARK STRAW GUARD LIP SWORD SUIT BADGE VAN SIGN PEN 
KITE DRUM AXE ROSE CAVE ROOF HAWK WOOD TAIL PRINCE HORN CLIFF 
WAND HAND LAWN CHAIR SHIRT TEA BED MAT STICK CART NOSE STOOL 
SMILE BOWL ARM TRAY BAG BRUSH DOOR WHALE TIE FACE FOOT FENCE 
TOE WEB LAKE FUDGE NEST MOLE MULE SHRIMP BEAR CHIEF CORN WOLF 
PEARL CASH CROWN CLOWN NET CLOCK BANK STORE GOLD SHEET MOOSE MAIL 
SHARK FUR SLEEVE JEEP CLOTH GOAT SHEEP SKI MOUSE DUCK CRANE POND 
STAR JUDGE RIB BALL TOAD TEETH TOOTH DOG HEART MOON STEM BEE 
SNOW SMOKE MUG OAR FOG JET CLOUD BRICK HOUSE STAIR SEAT TRAIN 
PET JAIL SHOE PIG HEN COW FARM MAZE EGG MILK SNAKE DART 
CONE ELF ROCK SUN ICE RAT SOCK WING BRIDGE HORSE CALF GEESE 
BLOOM SKUNK SNAIL SEA TOY LEAF LAND MOTH CAT GRASS OWL SEAL 
EAR FLAG STOVE SHELL SPONGE SALT FORT RICE PEA DOCK FILM TANK 
FOAM SHIP BENCH FLAME SPEAR VEST GLASS PANTS RAIN STEAM STORM APE 
COIN BOAT MAP SAIL POLE PLANE WHEEL CORD WORM TOOL SLUSH BAT 
BOARD FLUTE SCHOOL DOLL THREAD ROOM BOMB BOOK KEY SOAP PHONE PIN 
ANT BEAK FISH BEAN CLAY PLANT ROOT FOOD SEED STONE BIRD FRUIT 
WALL WORLD CAKE THUMB CANE PASTE JAR JUICE HOSE SQUARE INK CHALK 
